Title,Description,Topic,Video ID,URL,Views
"Marathon-7 Unit-7 | Pedagogy, Andragogy and Assessment | UGC NET Education/SET | Inculcate Learning","Welcome to ""Inculcate Learning"". This Channel provides you the educational topics from different fields; be it education, general ...",Education and Pedagogy,LRf7Cv_UOoM,https://www.youtube.com/watch?v=LRf7Cv_UOoM,47654
19 Personal Development Principles That Made Me $30 Million!,"In this episode of A Changed Mind, David Bayer shares 19 transformative principles essential for personal development, focusing ...",Personal development,uLXooTwwgQ8,https://www.youtube.com/watch?v=uLXooTwwgQ8,22405
Spring BEATS Newton 😱 with a Twist | Concept of Force #science #experiment #esaral #physics #funny,Spring BEATS Newton with a Twist | Concept of Force #science #experiment #esaral #physics #funny.,Science,QI8893YLbK0,https://www.youtube.com/watch?v=QI8893YLbK0,1386093
Ayu laxative tablet for constipation #shorts #shortsfeed #drx #medicine #medical,Ayu laxative tablet for constipation #shorts #shortsfeed #drx #medicine #medical @Drpritamshorts.,Health and medicine,BX_nE7E6MRE,https://www.youtube.com/watch?v=BX_nE7E6MRE,29
STEP-BY-STEP ACTIVITY MODULE 1- PERSONAL DEVELOPMENT SESSION 1-3,Link para sa module: https://bit.ly/3lCCqHK MODULE 1 - PERSONAL DEVELOPMENT https://bit.ly/36YFV7k MODULE 2 ...,Personal development,YQWvRPZyMiM,https://www.youtube.com/watch?v=YQWvRPZyMiM,297124
Learning how to juggle 3 balls #workshop #teachertraining #priorknowledge #juggler #pedagogy,,Education and Pedagogy,RMv7d8AStuk,https://www.youtube.com/watch?v=RMv7d8AStuk,37
Cyn saying callback ping in different languages #2 #murderdrones #viralvideo #trending #shorts,,languages,QEouy2OT_B4,https://www.youtube.com/watch?v=QEouy2OT_B4,301821
Grade 9 Social Studies unit 4 part 1 | Early modern and modern world history,"socialstudies #grade8 #unit4 Dear students, if you subscribe to this channel, you will be able to find beautiful studies from 7th ...",Social Studies,eKvBqXGiaEM,https://www.youtube.com/watch?v=eKvBqXGiaEM,30012
Personal Development: Learn to Work on Yourself (Audiobook),Get the e-book here: https://audiobooksoffice.com/products/personal-development-learn-to-work-on-yourself Watch Billionaire ...,Personal development,Lz1S2AIVprM,https://www.youtube.com/watch?v=Lz1S2AIVprM,3793
"Arts, Humanities and Social Sciences at Queen&#39;s",http://www.qub.ac.uk/Study/AHSS/ Subscribe NOW to Queen's University Belfast: http://bit.ly/1Y24vux MORE from Queen's ...,Arts and Humanities,kPttZA9DcW8,https://www.youtube.com/watch?v=kPttZA9DcW8,13430
"Career Cluster - Arts, Humanities and Media",,Arts and Humanities,uytF2fYmnWQ,https://www.youtube.com/watch?v=uytF2fYmnWQ,57
MATHEMATICS - Secrets and Facts - Documentary,Mathematics is a captivating documentary that takes viewers on an extraordinary journey through the evolution of mathematics ...,Mathematics,e1B0saB0rbI,https://www.youtube.com/watch?v=e1B0saB0rbI,340239
Class 8 Maths  Christmas Exam | Sure Questions | Exam Winner Class 8,examwinner #examwinnerchristmasexam #class8maths #mathssurequestions #class8christmasexam NMMS Model Exam Link ...,Mathematics,xrgDCl7bwdU,https://www.youtube.com/watch?v=xrgDCl7bwdU,111354
1st computer science question paper  Bsc 1st year question paper,Join this channel to get access to perks: https://www.youtube.com/channel/UCfCbXmWji0PSrJh0gtNW25w/join #computerscience ...,Computer Science and technology,C0dupmJZRM8,https://www.youtube.com/watch?v=C0dupmJZRM8,197329
#medicalstudent #medical #medicine #mbbs #mbbslife,,Health and medicine,cYNDKF6ghd8,https://www.youtube.com/watch?v=cYNDKF6ghd8,777
You won&#39;t believe how Personal Development is holding you back!,"Discover how personal development could be hindering your growth journey! It may seem counterintuitive, but oftentimes ...",Personal development,zbsZMoA9cv0,https://www.youtube.com/watch?v=zbsZMoA9cv0,15
"College of Arts, Humanities and Social Sciences - Class of 2021 Commencement Ceremony",CSUMB welcomes the opportunity to celebrate and honor the accomplishments of the graduates of the Class of 2021.,Arts and Humanities,X5L1mOmKI0o,https://www.youtube.com/watch?v=X5L1mOmKI0o,488
Photography Business Finance | Managing Your Small Business Income with YNAB,Let's talk about how to manage business finances effectively. As a small business owner having your money in order is a HUGE ...,Business and finance,pf7_COsPewQ,https://www.youtube.com/watch?v=pf7_COsPewQ,8940
Science and technology,,Computer Science and technology,O2YoUbNZwNg,https://www.youtube.com/watch?v=O2YoUbNZwNg,828652
Innovative Pedagogy and Technology for Learning,,Education and Pedagogy,oRjg2DKn_-A,https://www.youtube.com/watch?v=oRjg2DKn_-A,8302
What makes WHIRLPOOLS? 🌀 Nature Earth Science,NEW NATURAL WONDERS series SUBSCRIBE! http://bit.ly/SocraticaKids This playlist will focus on ...,Science,CYUcBtFo2J4,https://www.youtube.com/watch?v=CYUcBtFo2J4,199403
Our ❤️ languages are quality time &amp; receiving 🎁 The #KiaSorento Plug-In Hybrid gives us both 🚗 #ad,,languages,vhSwk0p6jEE,https://www.youtube.com/watch?v=vhSwk0p6jEE,7835
"A Day in the Life | Primary Care Sports Medicine Physician Olabode Agaja, DO",A focus on Pediatrics with a holistic approach. Dr. Olabode Agaja's practice emphasizes osteopathic manipulation as treatment for ...,Health and medicine,BvcFPAD5NG4,https://www.youtube.com/watch?v=BvcFPAD5NG4,32602
ADRE 2.0 || SOCIAL STUDIES  &amp; GK ||  গুৰুত্বপূৰ্ণ MCQ||  BY bijit  Sir,Official telegram channel of Learn with SPK- https://t.me/learnwithspkofficial * Course link ...,Social Studies,N0RxNFsQ0xY,https://www.youtube.com/watch?v=N0RxNFsQ0xY,14356
Science Fair be like,YAEY.,Science,OXK7C8i5pa0,https://www.youtube.com/watch?v=OXK7C8i5pa0,8782159
What Language is this??,,languages,DmWqodGrZUk,https://www.youtube.com/watch?v=DmWqodGrZUk,252711
What is a Liberal Arts Education?,"What can you do with a liberal arts education? Plenty! Liberal arts education benefits include problem solving, critical thinking and ...",Arts and Humanities,DyjZ1hZLf4Y,https://www.youtube.com/watch?v=DyjZ1hZLf4Y,120411
Personal development,,Personal development,mxeuGrjQyFE,https://www.youtube.com/watch?v=mxeuGrjQyFE,1446
Science not a magic trick #science #facts #sciencefacts #fact #earth,"Note:-Full credit to the respective owners.All Image, music, pictures and videos shown in the video belongs to their respective ...",Science,ZhcO8W6NkVM,https://www.youtube.com/watch?v=ZhcO8W6NkVM,10280220
Interview with Alicia Duffy | UCF Arts and Humanities Month,What's new at the UCF College of Arts and Humanities: https://news.cah.ucf.edu/newsroom Upcoming events: ...,Arts and Humanities,VrXrD-YFzO4,https://www.youtube.com/watch?v=VrXrD-YFzO4,206
Learn Mathematics from START to FINISH,"This video shows how anyone can start learning mathematics , and progress through the subject in a logical order. There really is ...",Mathematics,pTnEG_WGd2Q,https://www.youtube.com/watch?v=pTnEG_WGd2Q,5288411
"INI SS DM Critical Care Medicine, 3rd Rank AML","DM Critical Care Medicine, 3rd Rank AML, INI SS Oct' 2024, Dr Loveneesh., #iniss #speedlearningapp Mobile: 9840077508.",Health and medicine,Ep4FHH4APps,https://www.youtube.com/watch?v=Ep4FHH4APps,12054
Math Antics - Volume,Learn More at mathantics.com Visit http://www.mathantics.com for more Free math videos and additional subscription based ...,Mathematics,qJwecTgce6c,https://www.youtube.com/watch?v=qJwecTgce6c,6322824
81 Math Symbols Explained,The language of math.,Mathematics,_lh5DpKq3Ts,https://www.youtube.com/watch?v=_lh5DpKq3Ts,1383241
Early Programming: Crash Course Computer Science #10,"Since Joseph Marie Jacquard's textile loom in 1801, there has been a demonstrated need to give our machines instructions. In the ...",Computer Science and technology,nwDq4adJwzM,https://www.youtube.com/watch?v=nwDq4adJwzM,794936
"🔥 ALGEBRA SHORT TRICK 🔥FOR ALL SSC, BANK, RRB, AP/TS SI &amp; GROUPS EXAMS",Onlineclasses_CL_9676578793 #Chandan_Logics_newbatches #Chandan_Logics 🔴 SSC EXAMS SPECIAL ...,Mathematics,25a7tJmr-wI,https://www.youtube.com/watch?v=25a7tJmr-wI,320148
Railway Technician Grade III MOCK TEST |  Mathematics Explanation | MOST EXPECTED QUESTIONS,Railway Technician Grade III MOCK TEST | Mathematics Explanation | MOST EXPECTED QUESTIONS ...,Mathematics,4GsoUgMAkdM,https://www.youtube.com/watch?v=4GsoUgMAkdM,42094
